,id,Name,Perfect,Good,Ok,Bad,Very Bad
302,303,bell,0,0,0,0,0
303,304,coffeemarat7hoz,0,0,0,0,0
304,305,alenda,0,0,0,0,0
305,306,nobu_tehran,0,0,0,0,0
306,307,grossi_restaurant,0,0,0,0,0
307,308,fisherabadcoffee,0,0,0,0,0
308,309,rota_lounge,1,0,0,0,0
309,310,rhinocafeclub,0,0,0,0,0
310,311,ronak_gardencafe,0,0,0,0,0
311,312,prisca_cafe_restaurant,0,0,0,0,0
312,313,cafe_beynolmelal,0,0,0,0,0
313,314,odette_cafe,0,0,0,0,0
314,315,cozylounge,0,1,0,0,0
315,316,baccara_cafe,0,1,0,0,0
316,317,fidar,0,0,0,0,0
